Hour,Chi,Average Throughput(kBps),Average Power Consumed (W),Fairness Index,Spectral Efficiency,Cell-Edge Throughput (kBps)
0.5,0.8,211.51917111239544,10.25109315214122,0.07548515629235454,17.767610373441194,0.0
1.5,0.62,212.76328484247932,12.542796257212666,0.07599498550565409,13.404086945076195,0.0
2.5,0.42,208.46104337933843,16.938647809748957,0.07508975373632074,8.755363821932209,0.0
3.5,0.28,210.04086741567264,22.322521723570322,0.07599725715157854,6.175201502020785,0.0
4.5,0.19,212.3220698824867,36.95442311816764,0.07733313076229033,3.5670107740257704,0.0
5.5,0.15,211.7945297753046,48.02219977351098,0.0780351157386906,2.6686110751688332,0.0
6.5,0.14,211.50034755838342,47.70960867749821,0.07792456910405846,2.664904379235633,0.0
7.5,0.18,212.11635208473598,36.71997979615864,0.07745728444577735,3.5635547150235602,0.0
8.5,0.26,210.66801725919794,25.730350914819628,0.07626668737250536,5.30883403493178,0.0
9.5,0.39,212.55790930280872,18.508128692597662,0.0762535624545649,8.034688971646156,0.0
10.5,0.51,211.96065177507438,14.818869807483273,0.07580325773422139,10.68281684946375,0.0
11.5,0.59,212.84291414149803,13.23775885672022,0.07607739603525211,12.515163351520085,0.0
12.5,0.64,209.96822608387026,11.876093152141195,0.07501634147049105,14.109864792836081,0.0
13.5,0.65,211.06464010293303,11.934703982643844,0.07553515199875203,14.18354381491711,0.0
14.5,0.68,214.456375825278,11.398151975670803,0.07617196677358958,15.312185233924835,0.0
15.5,0.72,212.1101939764092,10.973315374363668,0.07572655384336045,16.035530664616527,0.0
16.5,0.75,210.52116549006283,11.1296109223695,0.07512203470339271,15.91540011104877,0.0
17.5,0.78,212.95659048906535,10.691911392987226,0.0759866423241109,16.99393592102738,0.0
18.5,0.8,211.24980246243686,10.25109315214122,0.07543993816487665,17.744983406844696,0.0
19.5,0.85,212.87141719923721,9.986225213476551,0.07587471074385704,18.77525899697273,0.0
20.5,0.93,214.01644730522906,9.444039816838835,0.07628325745217457,20.673988809685135,0.0
21.5,0.99,213.07051963616624,9.284981479812556,0.07562398391575263,21.477508379325567,0.0
22.5,1.0,211.0302928583423,8.951093152141606,0.07537533909792644,22.158180750125922,0.0
23.5,0.9400000000000001,211.19786405411637,9.484812568492371,0.07534929370270647,20.401713667627632,0.0
