Distance(km),JT = 1,JT = 3,JT = 2
0.1,9145.898085,9612.475001,9465.456863
10.1,4467.681406,4807.548111,4609.674962
20.1,3742.577881,4172.502072,4011.616844
30.1,3319.104043,3754.64299,3578.470934
40.1,3030.818922,3487.103752,3372.009209
50.1,2837.16433,3154.565596,3006.191239
60.1,2653.922011,3071.752426,2876.788222
70.1,2513.896316,2884.728422,2676.870924
80.1,2390.4224,2707.664748,2587.999528
90.1,2134.658027,2578.886912,2443.804493
100.1,2115.261658,2532.679446,2349.895689
110.1,2020.715105,2402.989569,2236.448683
120.1,1926.693849,2299.308284,2182.83148
130.1,1834.970179,2197.429381,2102.441838
140.1,1791.679562,2156.976832,1969.881137
150.1,1753.731583,2138.706133,1942.302473
160.1,1622.310685,2018.29956,1858.742668
170.1,1526.040523,2012.245229,1851.160387
180.1,1553.552293,1884.160815,1748.897743
190.1,1438.278361,1845.744341,1699.999568
200.1,1389.744414,1830.986324,1623.904337
210.1,1357.023214,1810.553941,1552.361842
220.1,1296.228877,1741.515206,1639.893431
230.1,1278.030503,1757.605757,1514.334533
240.1,1236.59758,1625.541727,1416.866731
250.1,1171.854997,1611.116861,1472.603819
260.1,1136.706459,1544.325686,1391.367596
270.1,1057.875169,1521.339037,1324.361168
280.1,1110.553676,1460.399679,1308.391538
290.1,1052.561713,1463.337924,1368.393421
300.1,1000.088116,1392.101212,1328.189627
310.1,1017.865351,1379.354203,1224.932392
320.1,949.158988,1417.06538,1173.914672
330.1,936.0600476,1353.962193,1175.974231
340.1,872.2037883,1289.017643,1121.959295
350.1,834.4490131,1261.667697,1138.131679
360.1,840.2266899,1245.706145,1105.400164
370.1,844.3288818,1278.962984,1056.381246
380.1,743.0899972,1147.638259,1060.995417
390.1,853.5622456,1129.121265,1013.548399
400.1,804.1765472,1153.898505,991.9192221
410.1,793.7095577,1131.62899,1003.824645
420.1,704.8298124,1136.538751,931.2715035
430.1,701.5453068,1182.64683,985.5746552
440.1,680.8265103,1057.507299,967.800074
450.1,697.2656875,1098.076065,867.0892344
460.1,628.2193949,1089.069008,919.0948204
470.1,638.8797008,1074.970369,954.827829
480.1,618.8864305,1057.053148,943.0930492
490.1,608.606461,1036.4037,876.5717088
500.1,594.5232891,1035.302049,848.1474972
510.1,562.6295748,1027.966953,811.5221657
520.1,540.275658,1001.253329,825.0700384
530.1,617.5810569,999.5733885,818.3671007
540.1,551.4145816,990.9402537,785.6504563
550.1,541.8879205,971.1522672,741.5992797
560.1,570.213082,959.3322972,765.7746449
570.1,552.8895614,887.3073524,771.1303455
580.1,541.9501973,923.7038454,735.9712859
590.1,485.912948,947.2298759,726.0299263
600.1,504.5066123,923.2010335,728.9327983
610.1,500.5827858,919.5723821,721.5207899
620.1,448.2164799,855.3616423,724.8355346
630.1,501.3943376,911.0949119,750.8996272
640.1,471.4716567,871.4893706,701.4710672
650.1,413.0535363,933.3219358,700.7455622
660.1,443.4490522,908.0888961,748.9563428
670.1,461.5625544,822.1842047,676.2762288
680.1,428.8439679,809.4599334,689.2154999
690.1,443.9302081,878.8745933,680.3981306
700.1,407.9791053,797.4659743,642.0881599
710.1,433.3123621,846.9387724,686.8215448
720.1,430.6021053,829.6801187,679.6495632
730.1,369.0842676,788.9707768,647.5877041
740.1,409.3624564,801.2931525,608.2911155
750.1,383.3647546,774.7885375,618.2782478
760.1,382.5438612,805.1500438,637.5795774
770.1,393.0626347,806.8143137,622.8004516
780.1,389.0408868,807.6967679,610.2453092
790.1,410.7964107,759.7127794,556.401433
800.1,350.2884199,819.8503055,605.6799914
810.1,370.5568866,777.7611206,628.4571604
820.1,361.1392105,774.2548423,613.7811802
830.1,352.6076957,809.7268913,595.3120792
840.1,361.1880016,773.7603365,599.2947597
850.1,359.3804085,765.5929402,607.321648
860.1,359.9907493,760.7954183,555.5727941
870.1,396.5770472,752.6874777,597.058399
880.1,394.1012695,743.1305443,571.6181312
890.1,372.9057657,807.2431245,573.447005
900.1,375.194463,780.6781244,595.3164597
910.1,357.9235868,795.9637086,593.7364721
920.1,351.4730169,744.2378868,595.8351629
930.1,354.4546141,769.8935044,585.8377483
940.1,348.3267039,760.5159084,532.747875
950.1,333.2650425,748.0711064,606.6161814
960.1,347.7918878,729.3392111,566.8968224
970.1,366.9947711,768.5802232,603.3571251
980.1,371.5126279,784.0754351,583.0326966
990.1,330.4850109,766.8595523,603.9543724
