Distance(km),T_avg (kBps)
0.1,4267.883704911611
10.1,2222.0636494346563
20.1,1890.0954465863165
30.1,1696.8034873423458
40.1,1648.776922449084
50.1,1502.6875612977244
60.1,1375.7009664145685
70.1,1297.1516361116676
80.1,1278.4442427585025
90.1,1179.9217862424416
100.1,1155.7486686719803
110.1,1085.3830589591425
120.1,1047.0868453965859
130.1,1032.4573429026318
140.1,952.4860412187718
150.1,966.2262234486304
160.1,918.8978248079462
170.1,900.0036969414193
180.1,886.4548112360917
190.1,844.8950187201035
200.1,852.0208045856704
210.1,779.3796978066518
220.1,784.1864955678459
230.1,743.4122367617774
240.1,745.4153187712044
250.1,757.8287919464486
260.1,719.977677790877
270.1,696.153010050621
280.1,689.5051602957784
290.1,668.711426253423
300.1,650.168002186563
310.1,608.0200333754415
320.1,644.0227693613996
330.1,613.1603318704807
340.1,602.3901805815067
350.1,608.6158318951027
360.1,580.8719861750899
370.1,597.0778009160074
380.1,578.3163099888616
390.1,546.1907815626375
400.1,547.4629505589321
410.1,523.1521986679144
420.1,518.0569435990359
430.1,528.8670625748457
440.1,508.63771586871127
450.1,509.7980346039649
460.1,491.6691778501613
470.1,489.28991671841305
480.1,483.26459879907145
490.1,484.70197712563385
500.1,452.87025439788204
510.1,458.73396796880843
520.1,452.37996735068066
530.1,443.7377953337808
540.1,451.1533148377827
550.1,434.0705653184893
560.1,444.1690281854059
570.1,423.43825183261777
580.1,428.3169281022827
590.1,433.26515210223715
600.1,405.4946570436481
610.1,418.0698646293986
620.1,417.55028225468925
630.1,412.49161945878257
640.1,400.7839779779289
650.1,396.3850923152371
660.1,393.1876582652111
670.1,383.4026727245316
680.1,381.20086182122463
690.1,372.3278406976378
700.1,369.37295979821954
710.1,373.07531340196823
720.1,383.196289882628
730.1,376.75273354800487
740.1,357.3782897918563
750.1,368.3491379211106
760.1,370.48764415583554
770.1,365.88661190966764
780.1,371.3445021716937
790.1,362.9500125176031
800.1,361.6383819672726
810.1,366.53422599572093
820.1,357.3986111930825
830.1,364.1557418933465
840.1,340.8480629724722
850.1,357.05869900080927
860.1,356.31737011129223
870.1,344.4298000548206
880.1,347.9831982438019
890.1,342.8112171657892
900.1,365.27165333337376
910.1,345.3263035374174
920.1,338.79565479853267
930.1,347.46500156035154
940.1,350.161280871764
950.1,346.61365069853537
960.1,350.61937240995303
970.1,348.06258094413437
980.1,338.8729952485045
990.1,350.020774786651
