Distance/m,Chi = 0.1,Chi = 0.2,Chi = 0.30000000000000004,Chi = 0.4
0.1,8556.554633875305,8526.318042186289,8160.408034286551,7093.106492659099,
50.1,2781.458013668104,2768.3136188624803,2653.2987922254524,2312.99201450469,
100.1,2136.583911307862,2127.412862394717,2045.8301633951974,1776.3473094779877,
150.1,1764.5285772248162,1756.5224503177153,1682.5832152547343,1465.166965541719,
200.1,1507.7553354512802,1498.585169000373,1437.1871054711644,1249.8716622243262,
250.1,1312.8703408167783,1303.9368712095988,1249.2205039763357,1089.493161826767,
300.1,1152.72510335016,1148.161978240055,1098.1108574406271,957.658911203704,
350.1,1021.4390239604713,1025.6162774534898,980.7038038566134,859.23375432055,
400.1,923.0015683531078,924.0031518155353,886.337544889386,772.2754901202525,
450.1,841.940132541888,839.2903364107849,809.0125045325151,703.908951318888,
500.1,772.1400137387568,772.6714035454412,743.9942697871508,650.9782911658963,
550.1,718.6995865921033,715.9459346956595,689.6621851622822,606.3753177752245,
600.1,667.4864841935565,666.9964630500734,644.5209487293264,567.101408824255,
650.1,629.3360069541313,630.2523008827616,609.113338336598,538.048809884155,
700.1,598.7346353492318,601.2974787040404,582.9470817117499,515.0144557746158,
750.1,576.2948283461174,575.5641031739891,561.4538479248686,498.59423800623756,
800.1,560.9315372508286,557.8361313332049,544.1727444984789,485.6650210322861,
850.1,546.4449247945494,545.1941326422552,533.630550807415,476.88747191608707,
900.1,535.6562429720578,537.2831611149306,527.5736399051805,471.8402178182202,
950.1,535.2127302235922,535.4933460291613,526.7862046108029,474.05638988979024,
